pred_409.pdb pLDDT:70.00 pTMscore:0.6929
pred_410.pdb pLDDT:69.95 pTMscore:0.7168
pred_411.pdb pLDDT:69.88 pTMscore:0.7132
pred_412.pdb pLDDT:69.86 pTMscore:0.7192
pred_413.pdb pLDDT:69.50 pTMscore:0.7092
pred_414.pdb pLDDT:69.47 pTMscore:0.6848
pred_415.pdb pLDDT:69.44 pTMscore:0.7109
pred_416.pdb pLDDT:69.38 pTMscore:0.7108
pred_417.pdb pLDDT:69.23 pTMscore:0.7069
pred_418.pdb pLDDT:69.22 pTMscore:0.7161
pred_419.pdb pLDDT:68.97 pTMscore:0.7172
pred_420.pdb pLDDT:68.95 pTMscore:0.7378
pred_421.pdb pLDDT:68.94 pTMscore:0.7015
pred_422.pdb pLDDT:68.89 pTMscore:0.7463
pred_423.pdb pLDDT:68.87 pTMscore:0.7020
pred_424.pdb pLDDT:68.81 pTMscore:0.7477
pred_425.pdb pLDDT:68.70 pTMscore:0.6857
pred_426.pdb pLDDT:68.66 pTMscore:0.6990
pred_427.pdb pLDDT:68.60 pTMscore:0.7051
pred_428.pdb pLDDT:68.57 pTMscore:0.7247
pred_429.pdb pLDDT:68.54 pTMscore:0.7237
pred_430.pdb pLDDT:68.47 pTMscore:0.7121
pred_431.pdb pLDDT:68.42 pTMscore:0.6843
pred_432.pdb pLDDT:68.38 pTMscore:0.7081
pred_433.pdb pLDDT:68.26 pTMscore:0.6767
pred_434.pdb pLDDT:67.72 pTMscore:0.6751
pred_435.pdb pLDDT:67.66 pTMscore:0.7261
pred_436.pdb pLDDT:67.62 pTMscore:0.7035
pred_437.pdb pLDDT:67.60 pTMscore:0.6740
pred_438.pdb pLDDT:67.50 pTMscore:0.6399
pred_439.pdb pLDDT:67.40 pTMscore:0.7054
pred_440.pdb pLDDT:67.29 pTMscore:0.6741
pred_441.pdb pLDDT:66.87 pTMscore:0.6704
pred_442.pdb pLDDT:66.86 pTMscore:0.6548
pred_443.pdb pLDDT:66.67 pTMscore:0.7098
pred_444.pdb pLDDT:66.61 pTMscore:0.7074
pred_445.pdb pLDDT:66.59 pTMscore:0.7104
pred_446.pdb pLDDT:66.55 pTMscore:0.7013
pred_447.pdb pLDDT:66.51 pTMscore:0.6749
pred_448.pdb pLDDT:66.41 pTMscore:0.6867
pred_449.pdb pLDDT:66.40 pTMscore:0.5798
pred_450.pdb pLDDT:66.31 pTMscore:0.6767
pred_451.pdb pLDDT:66.26 pTMscore:0.6115
pred_452.pdb pLDDT:66.25 pTMscore:0.6753
pred_453.pdb pLDDT:66.12 pTMscore:0.7023
pred_454.pdb pLDDT:66.05 pTMscore:0.6522
pred_455.pdb pLDDT:65.93 pTMscore:0.6549
pred_456.pdb pLDDT:65.83 pTMscore:0.6725
pred_457.pdb pLDDT:65.81 pTMscore:0.5955
pred_458.pdb pLDDT:65.72 pTMscore:0.6834
pred_459.pdb pLDDT:65.42 pTMscore:0.6722
pred_460.pdb pLDDT:65.21 pTMscore:0.6465
pred_461.pdb pLDDT:65.11 pTMscore:0.6593
pred_462.pdb pLDDT:65.06 pTMscore:0.6051
pred_463.pdb pLDDT:64.32 pTMscore:0.6795
pred_464.pdb pLDDT:64.01 pTMscore:0.6403
pred_465.pdb pLDDT:63.94 pTMscore:0.6730
pred_466.pdb pLDDT:63.93 pTMscore:0.6619
pred_467.pdb pLDDT:63.74 pTMscore:0.6595
pred_468.pdb pLDDT:62.77 pTMscore:0.6044
pred_469.pdb pLDDT:62.66 pTMscore:0.6114
pred_470.pdb pLDDT:62.46 pTMscore:0.6408
pred_471.pdb pLDDT:62.35 pTMscore:0.6633
pred_472.pdb pLDDT:62.29 pTMscore:0.6219
pred_473.pdb pLDDT:61.98 pTMscore:0.4921
pred_474.pdb pLDDT:61.85 pTMscore:0.5257
pred_475.pdb pLDDT:61.55 pTMscore:0.6176
pred_476.pdb pLDDT:61.33 pTMscore:0.6045
pred_477.pdb pLDDT:61.30 pTMscore:0.6179
pred_478.pdb pLDDT:61.18 pTMscore:0.5371
pred_479.pdb pLDDT:61.09 pTMscore:0.6310
